request_id,arrive_time,rtl,wait_time
314f71fe-b238-11ec-bfa6-085bd6625968,2,30,1
314f71ff-b238-11ec-b38e-085bd6625968,15,30,1
314f7200-b238-11ec-bc2e-085bd6625968,29,30,2
314f7201-b238-11ec-8454-085bd6625968,32,10,2
314f7202-b238-11ec-b56b-085bd6625968,45,10,3
314f7203-b238-11ec-9773-085bd6625968,47,10,2
314f7204-b238-11ec-b814-085bd6625968,55,10,1
314f7205-b238-11ec-ba46-085bd6625968,58,10,1
314f7206-b238-11ec-9266-085bd6625968,61,10,3
314f7207-b238-11ec-ba0a-085bd6625968,62,30,4
314f7208-b238-11ec-acda-085bd6625968,69,30,3
314f7209-b238-11ec-81d5-085bd6625968,74,10,2
314f720a-b238-11ec-bed3-085bd6625968,76,30,1
314f720b-b238-11ec-af2f-085bd6625968,78,30,1
314f720c-b238-11ec-b64c-085bd6625968,82,10,2
314f720d-b238-11ec-9a78-085bd6625968,84,10,1
314f720e-b238-11ec-b5d9-085bd6625968,86,10,1
314f720f-b238-11ec-806c-085bd6625968,89,10,1
314f7210-b238-11ec-8a4b-085bd6625968,94,10,1
314f7211-b238-11ec-830a-085bd6625968,97,30,1
314f7213-b238-11ec-b986-085bd6625968,99,30,1
314f7212-b238-11ec-ab14-085bd6625968,98,30,3
314f7214-b238-11ec-8797-085bd6625968,104,10,1
314f7215-b238-11ec-85e0-085bd6625968,105,30,1
314f7216-b238-11ec-ba5d-085bd6625968,106,30,2
314f7217-b238-11ec-91aa-085bd6625968,107,30,2
314f7218-b238-11ec-9966-085bd6625968,108,30,3
314f7219-b238-11ec-95e6-085bd6625968,112,30,1
314f721a-b238-11ec-b4d9-085bd6625968,116,10,1
314f721d-b238-11ec-b601-085bd6625968,119,10,1
314f721c-b238-11ec-887c-085bd6625968,118,10,4
314f7220-b238-11ec-9e8a-085bd6625968,123,10,1
314f7221-b238-11ec-847f-085bd6625968,124,10,2
314f7222-b238-11ec-9785-085bd6625968,126,30,1
314f721e-b238-11ec-b971-085bd6625968,120,30,8
314f721b-b238-11ec-b42d-085bd6625968,117,30,12
314f7223-b238-11ec-b3c2-085bd6625968,128,30,5
314f7225-b238-11ec-b2dc-085bd6625968,134,30,1
314f7226-b238-11ec-a57a-085bd6625968,135,30,1
314f721f-b238-11ec-af4f-085bd6625968,122,30,17
314f7224-b238-11ec-971c-085bd6625968,132,10,8
314f7229-b238-11ec-bd0d-085bd6625968,139,30,2
314f7227-b238-11ec-a8a1-085bd6625968,136,10,6
314f7228-b238-11ec-81e8-085bd6625968,138,30,5
314f722b-b238-11ec-bf81-085bd6625968,143,10,1
314f722a-b238-11ec-994a-085bd6625968,142,10,5
314f722d-b238-11ec-889b-085bd6625968,146,30,2
314f722e-b238-11ec-abd6-085bd6625968,147,30,2
314f722c-b238-11ec-bfac-085bd6625968,145,10,5
314f722f-b238-11ec-a145-085bd6625968,148,30,3
314f7230-b238-11ec-88d3-085bd6625968,149,10,3
314f7233-b238-11ec-8791-085bd6625968,153,10,1
314f7232-b238-11ec-9b6b-085bd6625968,152,30,3
314f7235-b238-11ec-b8b5-085bd6625968,156,10,2
314f7236-b238-11ec-a6b1-085bd6625968,157,30,4
314f723a-b238-11ec-83d0-085bd6625968,162,10,3
314f7239-b238-11ec-8ab4-085bd6625968,161,10,6
314f7234-b238-11ec-ad0a-085bd6625968,154,30,14
314f723d-b238-11ec-8df1-085bd6625968,167,30,2
314f723b-b238-11ec-ab40-085bd6625968,165,30,5
314f7237-b238-11ec-b535-085bd6625968,159,30,12
314f7240-b238-11ec-bb2d-085bd6625968,170,30,2
314f723c-b238-11ec-8cb9-085bd6625968,166,10,7
3151d490-b238-11ec-b70b-085bd6625968,173,30,1
3151d492-b238-11ec-b19d-085bd6625968,175,30,1
314f723e-b238-11ec-8099-085bd6625968,168,10,9
3151d491-b238-11ec-8576-085bd6625968,174,30,4
314f7238-b238-11ec-877b-085bd6625968,160,30,20
